Matricola,Esame
380061,Fisica
380061,Ingegneria Civile
380061,Genetica
380061,Calcolo Numerico
380061,Statistica
380061,Fisiologia
380061,Economia
380061,Programmazione Logica
380061,Scienze dei Materiali
380061,Scienze Ambientali
380061,Informatica
156587,Diritto Privato
156587,Psicologia del Lavoro
156587,Ingegneria Informatica
156587,Filosofia della Scienza
156587,Diritto Internazionale
156587,Scienze Biologiche
156587,Marketing
156587,Scienze della Comunicazione
156587,Storia dell’Arte
156587,Lettere e Filosofia
156587,Scienze Ambientali
156587,Calcolo Numerico
156587,Bioinformatica
156587,Fisiologia
156587,Sociologia del Lavoro
156587,Sociologia
156587,Psicopatologia
156587,Programmazione Logica
455189,Calcolo Numerico
455189,Economia dell'Ambiente
455189,Statistica Sociale
455189,Bioinformatica
455189,Psicologia del Lavoro
496053,Epidemiologia
496053,Fisiologia
496053,Scienza Politica
496053,Psicologia
496053,Marketing
496053,Chimica
496053,Fisica
496053,Neuroscienze
496053,Scienze Politiche
496053,Intelligenza Artificiale
496053,Statistica
496053,Programmazione Logica
496053,Medicina
496053,Architettura
496053,Biologia
496053,Economia Aziendale
841221,Scienze Naturali
841221,Genetica
841221,Diritto Internazionale
841221,Ingegneria Meccanica
841221,Matematica
841221,Scienze Ambientali
841221,Biochimica
841221,Scienze dei Materiali
841221,Storia dell’Arte
841221,Geologia
601038,Ingegneria Civile
601038,Geografia Economica
601038,Psicologia del Lavoro
601038,Economia Aziendale
601038,Geologia
601038,Scienze Politiche
601038,Biochimica
601038,Sociologia del Lavoro
601038,Psicologia
601038,Scienze Veterinarie
601038,Fisica
388978,Machine Learning
388978,Marketing
388978,Ingegneria Elettronica
388978,Psicopatologia
388978,Intelligenza Artificiale
928573,Psicologia
928573,Scienze Geografiche
928573,Statistica
928573,Economia dell'Ambiente
928573,Economia Aziendale
928573,Farmacia
928573,Economia
319877,Medicina
319877,Marketing
319877,Matematica
319877,Architettura
319877,Farmacia
319877,Scienze Ambientali
319877,Calcolo Numerico
319877,Lettere e Filosofia
319877,Psicologia
319877,Statistica Sociale
319877,Scienze Veterinarie
319877,Sociologia
319877,Scienze Biologiche
807814,Biologia
807814,Psicologia
807814,Sociologia del Lavoro
807814,Lingue Straniere
807814,Storia dell’Arte
807814,Geologia
807814,Psicopatologia
558162,Ingegneria Elettronica
558162,Intelligenza Artificiale
558162,Informatica Teorica
558162,Biologia
558162,Sociologia del Lavoro
558162,Psicologia del Lavoro
558162,Sociologia
237289,Ingegneria Civile
201644,Epidemiologia
201644,Fisiologia
201644,Immunologia
201644,Scienze della Formazione
168226,Calcolo Numerico
168226,Scienze Politiche
168226,Ingegneria Elettronica
168226,Immunologia
168226,Marketing
168226,Geologia
168226,Machine Learning
168226,Scienze Geografiche
168226,Scienze Biologiche
168226,Chimica
111302,Economia Aziendale
111302,Astrofisica
111302,Ingegneria Civile
111302,Geologia
111302,Ingegneria Informatica
111302,Lettere e Filosofia
304502,Scienze Politiche
304502,Lingue Straniere
304502,Statistica
304502,Biologia
304502,Statistica Sociale
304502,Economia Aziendale
304502,Medicina
304502,Marketing
637083,Fisica
637083,Informatica Teorica
637083,Economia
637083,Scienze Biologiche
637083,Immunologia
637083,Ingegneria Informatica
637083,Scienza Politica
637083,Genetica
637083,Architettura
637083,Lingue Straniere
637083,Intelligenza Artificiale
637083,Statistica
637083,Ingegneria Civile
637083,Scienze Veterinarie
637083,Biologia
637083,Psicologia del Lavoro
164555,Machine Learning
164555,Geologia
164555,Scienze Biologiche
164555,Psicopatologia
164555,Scienze Geografiche
164555,Immunologia
309935,Bioinformatica
309935,Marketing
309935,Psicopatologia
831598,Scienze Politiche
831598,Diritto Internazionale
831598,Farmacia
831598,Storia dell’Arte
831598,Biochimica
831598,Statistica Sociale
831598,Lingue Straniere
831598,Scienze della Formazione
831598,Ingegneria Meccanica
831598,Matematica
754031,Economia Aziendale
754031,Ingegneria Meccanica
742655,Astrofisica
742655,Statistica
742655,Psicopatologia
742655,Ingegneria Meccanica
742655,Geologia
742655,Scienza Politica
742655,Scienze Biologiche
742655,Intelligenza Artificiale
742655,Scienze della Comunicazione
742655,Sociologia del Lavoro
742655,Scienze Politiche
742655,Sociologia
742655,Genetica
742655,Lettere e Filosofia
742655,Lingue Straniere
737182,Ingegneria Elettronica
737182,Diritto Pubblico
663639,Scienze della Formazione
663639,Sociologia
663639,Scienze Biologiche
663639,Bioinformatica
663639,Epidemiologia
663639,Storia dell’Arte
663639,Biologia
663639,Chimica
804696,Calcolo Numerico
804696,Ingegneria Meccanica
804696,Scienze dei Materiali
804696,Biochimica
804696,Informatica Teorica
804696,Chimica
804696,Filosofia della Scienza
948767,Bioinformatica
948767,Storia dell’Arte
948767,Matematica
948767,Calcolo Numerico
948767,Ingegneria Biomedica
948767,Informatica
801268,Scienza Politica
801268,Scienze Geografiche
801268,Scienze Biologiche
801268,Psicologia
754150,Scienze della Comunicazione
754150,Psicopatologia
754150,Scienze Veterinarie
754150,Psicologia del Lavoro
754150,Farmacia
754150,Economia Aziendale
510915,Programmazione Logica
510915,Odontoiatria
510915,Geologia
510915,Scienze della Formazione
510915,Economia
510915,Fisica
186722,Matematica
186722,Marketing
186722,Scienze Politiche
186722,Informatica Teorica
186722,Calcolo Numerico
186722,Odontoiatria
186722,Statistica
186722,Intelligenza Artificiale
186722,Filosofia della Scienza
186722,Statistica Sociale
186722,Scienze della Comunicazione
186722,Economia dell'Ambiente
698110,Farmacologia
698110,Scienze alimentari
698110,Bioinformatica
698110,Scienze Politiche
902820,Fisica
902820,Storia dell’Arte
902820,Marketing
902820,Geografia Economica
902820,Fisiologia
902820,Scienze Geografiche
902820,Biochimica
902820,Geologia
902820,Architettura
902820,Calcolo Numerico
902820,Scienze Ambientali
841449,Economia Aziendale
841449,Biochimica
841449,Medicina
841449,Economia dell'Ambiente
841449,Marketing
841449,Farmacia
841449,Chimica
841449,Scienze Geografiche
841449,Scienze della Comunicazione
841449,Ingegneria Meccanica
841449,Epidemiologia
841449,Fisiologia
841449,Lingue Straniere
123157,Statistica Sociale
123157,Astrofisica
123157,Informatica Teorica
123157,Ingegneria Elettronica
123157,Filosofia della Scienza
123157,Scienze alimentari
123157,Informatica
123157,Ingegneria Informatica
123157,Scienze Ambientali
123157,Biochimica
123157,Neuroscienze
123157,Scienza Politica
123157,Scienze Biologiche
123157,Fisiologia
540001,Storia dell’Arte
540001,Scienza Politica
540001,Biochimica
428366,Architettura
428366,Scienze Biologiche
567783,Scienze dei Materiali
567783,Scienze della Formazione
567783,Scienze Ambientali
567783,Calcolo Numerico
567783,Machine Learning
567783,Statistica Sociale
567783,Lingue Straniere
567783,Psicopatologia
567783,Scienze Veterinarie
567783,Geografia Economica
567783,Economia
567783,Neuroscienze
720398,Calcolo Numerico
720398,Diritto Pubblico
720398,Informatica
720398,Bioinformatica
720398,Neuroscienze
720398,Scienze della Comunicazione
720398,Fisiologia
720398,Statistica
720398,Sociologia
720398,Chimica
720398,Farmacologia
720398,Biologia
720398,Fisica
720398,Ingegneria Biomedica
720398,Scienza Politica
720398,Immunologia
720398,Economia Aziendale
917202,Matematica
106350,Diritto Privato
106350,Immunologia
106350,Genetica
106350,Fisica
106350,Psicopatologia
106350,Economia Aziendale
106350,Farmacia
106350,Medicina
106350,Diritto Internazionale
106350,Neuroscienze
106350,Matematica
314909,Sociologia del Lavoro
314909,Genetica
314909,Economia Aziendale
314909,Filosofia della Scienza
314909,Matematica
314909,Diritto Internazionale
314909,Economia dell'Ambiente
314909,Epidemiologia
314909,Medicina
314909,Fisica
726694,Statistica Sociale
726694,Scienze alimentari
726694,Fisiologia
726694,Medicina
702975,Odontoiatria
702975,Economia Aziendale
702975,Sociologia del Lavoro
702975,Bioinformatica
702975,Chimica
702975,Statistica Sociale
702975,Ingegneria Elettronica
702975,Marketing
702975,Ingegneria Informatica
702975,Storia dell’Arte
702975,Calcolo Numerico
702975,Ingegneria Biomedica
439909,Fisiologia
439909,Scienze Biologiche
439909,Scienze Politiche
439909,Ingegneria Civile
439909,Neuroscienze
439909,Scienze Naturali
326760,Biologia
326760,Scienze Politiche
326760,Bioinformatica
326760,Intelligenza Artificiale
326760,Programmazione Logica
326760,Lingue Straniere
326760,Neuroscienze
326760,Economia
326760,Economia Aziendale
326760,Scienze dei Materiali
326760,Marketing
326760,Ingegneria Meccanica
326760,Ingegneria Elettronica
973924,Ingegneria Elettronica
973924,Genetica
973924,Bioinformatica
973924,Ingegneria Meccanica
973924,Astrofisica
973924,Scienze alimentari
973924,Sociologia
973924,Filosofia della Scienza
973924,Fisica
973924,Intelligenza Artificiale
973924,Diritto Internazionale
973924,Ingegneria Informatica
973924,Economia
973924,Architettura
973924,Matematica
973924,Psicologia del Lavoro
973924,Scienze Politiche
231382,Immunologia
231382,Scienze della Formazione
231382,Biochimica
231382,Epidemiologia
711102,Lettere e Filosofia
711102,Neuroscienze
711102,Ingegneria Meccanica
711102,Geologia
711102,Scienze Naturali
711102,Economia
711102,Scienze Geografiche
711102,Diritto Internazionale
711102,Diritto Pubblico
711102,Lingue Straniere
711102,Scienze della Comunicazione
711102,Calcolo Numerico
711102,Storia dell’Arte
711102,Scienze dei Materiali
711102,Bioinformatica
711102,Sociologia del Lavoro
711102,Scienze Ambientali
617815,Immunologia
617815,Scienze Naturali
617815,Medicina
617815,Farmacologia
617815,Geografia Economica
617815,Farmacia
617815,Scienze della Comunicazione
585670,Lettere e Filosofia
585670,Scienze Ambientali
585670,Biologia
585670,Diritto Privato
585670,Neuroscienze
585670,Statistica
585670,Informatica
585670,Ingegneria Elettronica
585670,Scienze Geografiche
585670,Ingegneria Informatica
585670,Medicina
509566,Lettere e Filosofia
509566,Diritto Privato
509566,Psicopatologia
509566,Intelligenza Artificiale
509566,Psicologia
509566,Scienze Biologiche
509566,Economia
509566,Filosofia della Scienza
509566,Medicina
509566,Scienze Veterinarie
509566,Ingegneria Biomedica
509566,Immunologia
718348,Geografia Economica
718348,Diritto Pubblico
718348,Filosofia della Scienza
718348,Medicina
718348,Scienze della Formazione
718348,Calcolo Numerico
718348,Storia dell’Arte
718348,Sociologia
718348,Informatica
718348,Sociologia del Lavoro
718348,Neuroscienze
718348,Economia
718348,Immunologia
718348,Scienze Politiche
866885,Fisica
866885,Informatica Teorica
866885,Ingegneria Biomedica
866885,Filosofia della Scienza
866885,Psicologia
866885,Genetica
866885,Astrofisica
866885,Medicina
866885,Economia dell'Ambiente
495638,Diritto Privato
495638,Epidemiologia
495638,Ingegneria Meccanica
495638,Scienza Politica
495638,Geografia Economica
495638,Matematica
495638,Genetica
495638,Ingegneria Informatica
495638,Medicina
495638,Scienze alimentari
495638,Scienze Politiche
770752,Matematica
770752,Statistica
770752,Fisiologia
933579,Scienze dei Materiali
933579,Storia dell’Arte
933579,Lettere e Filosofia
933579,Ingegneria Meccanica
933579,Ingegneria Biomedica
933579,Sociologia del Lavoro
591892,Scienze Politiche
591892,Psicopatologia
591892,Scienze dei Materiali
591892,Scienze Ambientali
591892,Informatica Teorica
591892,Psicologia
591892,Informatica
591892,Lettere e Filosofia
591892,Immunologia
900814,Psicologia del Lavoro
900814,Scienze della Comunicazione
900814,Ingegneria Informatica
900814,Geografia Economica
900814,Diritto Privato
900814,Farmacologia
900814,Scienze Geografiche
900814,Fisica
900814,Programmazione Logica
480103,Sociologia del Lavoro
480103,Biochimica
480103,Statistica
480103,Scienze alimentari
480103,Lettere e Filosofia
480103,Informatica Teorica
480103,Scienze Politiche
480103,Fisiologia
480103,Geologia
480103,Programmazione Logica
480103,Economia Aziendale
480103,Storia dell’Arte
480103,Diritto Internazionale
480103,Bioinformatica
480103,Genetica
480103,Odontoiatria
480103,Scienze Biologiche
116071,Scienze Politiche
116071,Sociologia del Lavoro
116071,Immunologia
116071,Diritto Pubblico
116071,Marketing
116071,Psicologia del Lavoro
116071,Economia Aziendale
116071,Farmacologia
283487,Diritto Internazionale
283487,Scienze dei Materiali
283487,Filosofia della Scienza
283487,Ingegneria Elettronica
283487,Ingegneria Informatica
454746,Economia dell'Ambiente
454746,Scienze dei Materiali
454746,Lettere e Filosofia
454746,Storia dell’Arte
454746,Programmazione Logica
454746,Bioinformatica
454746,Farmacia
454746,Ingegneria Informatica
454746,Diritto Pubblico
454746,Biochimica
454746,Ingegneria Biomedica
875852,Marketing
875852,Economia
875852,Architettura
875852,Geologia
103282,Storia dell’Arte
103282,Economia dell'Ambiente
103282,Lingue Straniere
103282,Medicina
103282,Architettura
103282,Diritto Internazionale
103282,Ingegneria Biomedica
103282,Sociologia
103282,Programmazione Logica
103282,Fisica
103282,Economia Aziendale
103282,Farmacia
103282,Chimica
103282,Ingegneria Meccanica
103282,Marketing
103282,Odontoiatria
728121,Scienze dei Materiali
728121,Scienze alimentari
728121,Bioinformatica
728121,Immunologia
728121,Lingue Straniere
728121,Farmacologia
728121,Informatica Teorica
728121,Economia
728121,Scienza Politica
728121,Ingegneria Meccanica
728121,Scienze della Formazione
728121,Odontoiatria
728121,Farmacia
728121,Psicologia del Lavoro
728121,Scienze della Comunicazione
241612,Odontoiatria
241612,Economia
241612,Economia Aziendale
241612,Lettere e Filosofia
241612,Biochimica
241612,Scienze Geografiche
241612,Scienze Biologiche
241612,Diritto Pubblico
241612,Psicologia
241612,Farmacologia
241612,Fisica
241612,Calcolo Numerico
241612,Diritto Internazionale
423450,Psicologia
423450,Diritto Privato
423450,Economia dell'Ambiente
423450,Informatica Teorica
423450,Intelligenza Artificiale
423450,Odontoiatria
423450,Calcolo Numerico
423450,Filosofia della Scienza
423450,Medicina
423450,Farmacologia
423450,Architettura
423450,Astrofisica
423450,Scienze Naturali
423450,Diritto Pubblico
423450,Machine Learning
423450,Economia Aziendale
803404,Informatica
803404,Psicologia del Lavoro
803404,Farmacologia
803404,Geologia
803404,Genetica
803404,Scienze Ambientali
803404,Economia
803404,Farmacia
803404,Fisiologia
803404,Psicologia
803404,Epidemiologia
803404,Scienze alimentari
803404,Ingegneria Biomedica
803404,Lettere e Filosofia
803404,Scienze Geografiche
803404,Chimica
841643,Farmacia
841643,Odontoiatria
841643,Machine Learning
841643,Fisica
841643,Scienze Naturali
841643,Statistica Sociale
841643,Ingegneria Informatica
841643,Diritto Privato
841643,Architettura
841643,Intelligenza Artificiale
841643,Scienze Veterinarie
841643,Marketing
841643,Programmazione Logica
841643,Immunologia
841643,Bioinformatica
841643,Scienze Biologiche
841643,Epidemiologia
642808,Marketing
642808,Scienze della Formazione
642808,Scienze Politiche
642808,Scienze Biologiche
642808,Farmacologia
642808,Lingue Straniere
642808,Immunologia
642808,Scienze Naturali
642808,Matematica
642808,Biochimica
522775,Economia
522775,Economia Aziendale
522775,Fisiologia
522775,Ingegneria Biomedica
522775,Neuroscienze
522775,Calcolo Numerico
522775,Intelligenza Artificiale
522775,Psicologia
522775,Immunologia
522775,Scienze alimentari
522775,Ingegneria Civile
464541,Ingegneria Biomedica
464541,Diritto Pubblico
464541,Sociologia
464541,Geologia
464541,Economia dell'Ambiente
464541,Immunologia
464541,Scienze Geografiche
464541,Scienze Veterinarie
464541,Biochimica
464541,Farmacologia
464541,Economia
886558,Ingegneria Biomedica
886558,Informatica Teorica
886558,Immunologia
886558,Odontoiatria
886558,Marketing
886558,Scienze Politiche
886558,Economia dell'Ambiente
886558,Ingegneria Informatica
886558,Fisiologia
886558,Geologia
886558,Farmacologia
977673,Lettere e Filosofia
977673,Calcolo Numerico
977673,Scienze Politiche
977673,Sociologia del Lavoro
977673,Marketing
977673,Geologia
977673,Lingue Straniere
977673,Psicopatologia
977673,Ingegneria Biomedica
977673,Psicologia
977673,Chimica
977673,Fisica
418086,Economia dell'Ambiente
418086,Biologia
418086,Lettere e Filosofia
418086,Diritto Pubblico
418086,Geologia
418086,Economia
418086,Genetica
418086,Scienze della Formazione
418086,Storia dell’Arte
418086,Biochimica
418086,Calcolo Numerico
418086,Bioinformatica
418086,Geografia Economica
418086,Ingegneria Elettronica
418086,Lingue Straniere
418086,Immunologia
418086,Odontoiatria
418086,Neuroscienze
355337,Medicina
355337,Economia dell'Ambiente
355337,Scienza Politica
355337,Biologia
355337,Matematica
355337,Immunologia
355337,Genetica
355337,Chimica
355337,Scienze Naturali
355337,Machine Learning
355337,Statistica Sociale
355337,Scienze Geografiche
355337,Sociologia
355337,Geologia
543366,Statistica
543366,Biologia
543366,Lingue Straniere
543366,Economia dell'Ambiente
543366,Psicologia del Lavoro
543366,Scienze della Comunicazione
543366,Farmacologia
543366,Architettura
543366,Informatica
543366,Astrofisica
543366,Ingegneria Civile
543366,Fisiologia
543366,Lettere e Filosofia
708484,Scienze Politiche
708484,Psicologia
708484,Chimica
708484,Scienze Ambientali
708484,Scienze Veterinarie
708484,Geologia
708484,Odontoiatria
708484,Intelligenza Artificiale
708484,Scienze Geografiche
708484,Informatica Teorica
702498,Storia dell’Arte
702498,Medicina
702498,Fisica
702498,Calcolo Numerico
702498,Sociologia del Lavoro
702498,Scienze Geografiche
702498,Odontoiatria
702498,Sociologia
702498,Biologia
702498,Bioinformatica
702498,Scienze della Comunicazione
702498,Ingegneria Informatica
702498,Psicopatologia
702498,Geografia Economica
702498,Architettura
702498,Scienze Naturali
702498,Psicologia
702498,Genetica
916936,Scienze Ambientali
916936,Farmacia
916936,Ingegneria Meccanica
916936,Calcolo Numerico
916936,Diritto Pubblico
916936,Geografia Economica
916936,Programmazione Logica
916936,Scienze della Comunicazione
916936,Psicopatologia
717543,Scienze della Comunicazione
203373,Sociologia del Lavoro
203373,Geografia Economica
203373,Scienze Geografiche
203373,Ingegneria Elettronica
203373,Economia
203373,Ingegneria Informatica
203373,Scienze Biologiche
203373,Machine Learning
203373,Filosofia della Scienza
203373,Ingegneria Civile
203373,Scienze Veterinarie
738184,Scienze Ambientali
738184,Calcolo Numerico
738184,Epidemiologia
738184,Scienze della Formazione
738184,Scienze Veterinarie
738184,Neuroscienze
738184,Statistica
738184,Storia dell’Arte
738184,Psicopatologia
738184,Scienze Geografiche
738184,Psicologia del Lavoro
738184,Ingegneria Elettronica
738184,Informatica
738184,Odontoiatria
738184,Geologia
738184,Diritto Pubblico
967906,Chimica
967906,Programmazione Logica
967906,Matematica
967906,Neuroscienze
967906,Ingegneria Meccanica
967906,Scienze Naturali
967906,Diritto Internazionale
967906,Psicologia
967906,Geografia Economica
967906,Economia
967906,Farmacologia
967906,Statistica Sociale
967906,Filosofia della Scienza
967906,Scienze Biologiche
486410,Scienze della Formazione
486410,Sociologia
486410,Scienze Ambientali
486410,Psicologia del Lavoro
486410,Sociologia del Lavoro
165993,Scienze Biologiche
165993,Genetica
165993,Economia dell'Ambiente
165993,Diritto Internazionale
165993,Epidemiologia
165993,Diritto Pubblico
165993,Psicologia
165993,Scienze Naturali
165993,Astrofisica
165993,Neuroscienze
165993,Chimica
165993,Marketing
165993,Machine Learning
186303,Fisiologia
186303,Odontoiatria
186303,Filosofia della Scienza
186303,Economia Aziendale
186303,Fisica
186303,Scienze Veterinarie
186303,Scienza Politica
186303,Medicina
186303,Scienze Naturali
186303,Scienze alimentari
186303,Geologia
617355,Fisica
617355,Farmacologia
617355,Geologia
984892,Scienze dei Materiali
984892,Programmazione Logica
984892,Economia dell'Ambiente
984892,Diritto Pubblico
984892,Psicopatologia
984892,Statistica Sociale
984892,Scienza Politica
984892,Immunologia
984892,Sociologia del Lavoro
984892,Marketing
984892,Sociologia
984892,Bioinformatica
984892,Genetica
984892,Farmacia
984892,Scienze Biologiche
283593,Scienze Geografiche
283593,Medicina
283593,Scienze della Comunicazione
283593,Ingegneria Informatica
283593,Scienze Ambientali
283593,Programmazione Logica
283593,Scienze Veterinarie
283593,Diritto Internazionale
283593,Scienza Politica
283593,Machine Learning
283593,Economia
283593,Biologia
283593,Scienze Naturali
153757,Farmacologia
153757,Farmacia
153757,Statistica Sociale
153757,Scienze Naturali
153757,Ingegneria Biomedica
758529,Immunologia
758529,Biologia
758529,Architettura
758529,Fisiologia
397024,Sociologia
397024,Machine Learning
397024,Immunologia
397024,Ingegneria Meccanica
397024,Calcolo Numerico
397024,Scienze Veterinarie
397024,Sociologia del Lavoro
397024,Epidemiologia
397024,Architettura
397024,Ingegneria Elettronica
397024,Farmacia
265695,Farmacologia
265695,Matematica
265695,Economia
265695,Lingue Straniere
265695,Biochimica
265695,Scienze Ambientali
265695,Diritto Pubblico
265695,Scienze Biologiche
265695,Calcolo Numerico
265695,Informatica
265695,Medicina
265695,Ingegneria Informatica
265695,Genetica
624739,Ingegneria Informatica
624739,Scienze della Formazione
624739,Lingue Straniere
624739,Ingegneria Meccanica
624739,Scienza Politica
624739,Marketing
624739,Lettere e Filosofia
274611,Farmacia
274611,Economia Aziendale
274611,Lingue Straniere
274611,Scienze Ambientali
274611,Sociologia
274611,Fisica
274611,Psicologia
274611,Storia dell’Arte
515296,Ingegneria Civile
515296,Sociologia del Lavoro
515296,Biologia
428554,Epidemiologia
428554,Machine Learning
428554,Economia dell'Ambiente
428554,Lettere e Filosofia
428554,Scienze della Comunicazione
428554,Scienza Politica
428554,Genetica
428554,Scienze dei Materiali
428554,Biochimica
428554,Psicologia del Lavoro
428554,Calcolo Numerico
428554,Fisiologia
428554,Biologia
428554,Medicina
428554,Diritto Privato
983039,Storia dell’Arte
983039,Scienze Veterinarie
983039,Fisica
983039,Biochimica
983039,Programmazione Logica
983039,Farmacologia
983039,Epidemiologia
983039,Farmacia
963242,Biochimica
963242,Statistica Sociale
450243,Machine Learning
450243,Scienze della Comunicazione
450243,Economia Aziendale
450243,Ingegneria Biomedica
450243,Diritto Privato
450243,Scienze dei Materiali
450243,Farmacologia
450243,Biochimica
450243,Diritto Pubblico
450243,Astrofisica
450243,Psicologia
450243,Epidemiologia
450243,Ingegneria Informatica
450243,Psicologia del Lavoro
450243,Scienze alimentari
450243,Scienze Geografiche
450243,Farmacia
450243,Genetica
678626,Scienze Biologiche
678626,Astrofisica
678626,Ingegneria Elettronica
678626,Scienze Veterinarie
678626,Scienze Politiche
678626,Geografia Economica
678626,Scienze alimentari
678626,Ingegneria Civile
678626,Architettura
678626,Scienza Politica
678626,Intelligenza Artificiale
962547,Ingegneria Biomedica
962547,Filosofia della Scienza
962547,Fisica
962547,Genetica
962547,Machine Learning
881577,Ingegneria Biomedica
881577,Scienza Politica
881577,Filosofia della Scienza
881577,Lingue Straniere
881577,Economia dell'Ambiente
881577,Biologia
881577,Fisica
881577,Marketing
757926,Economia Aziendale
757926,Diritto Privato
757926,Scienze della Formazione
757926,Economia dell'Ambiente
757926,Immunologia
757926,Psicologia
757926,Psicologia del Lavoro
757926,Astrofisica
108451,Ingegneria Biomedica
108451,Economia
108451,Scienze Veterinarie
108451,Fisiologia
108451,Scienze Biologiche
108451,Calcolo Numerico
108451,Scienze Geografiche
108451,Sociologia del Lavoro
108451,Psicopatologia
108451,Sociologia
108451,Scienze dei Materiali
108451,Chimica
108451,Medicina
108451,Astrofisica
108451,Programmazione Logica
357959,Scienze Ambientali
357959,Chimica
357959,Programmazione Logica
357959,Odontoiatria
357959,Geografia Economica
357959,Economia
357959,Machine Learning
357959,Psicopatologia
357959,Scienze Biologiche
357959,Psicologia del Lavoro
357959,Ingegneria Biomedica
357959,Statistica
115620,Calcolo Numerico
115620,Lingue Straniere
115620,Epidemiologia
115620,Bioinformatica
115620,Psicopatologia
115620,Ingegneria Informatica
115620,Chimica
115620,Ingegneria Meccanica
115620,Astrofisica
115620,Geologia
115620,Odontoiatria
115620,Marketing
115620,Psicologia
115620,Scienze Geografiche
115620,Statistica Sociale
569606,Sociologia
569606,Geologia
569606,Scienze della Formazione
569606,Odontoiatria
569606,Ingegneria Meccanica
569606,Psicologia
569606,Architettura
569606,Scienze Veterinarie
569606,Statistica Sociale
569606,Scienza Politica
569606,Scienze Ambientali
569606,Medicina
569606,Scienze alimentari
332741,Architettura
332741,Ingegneria Meccanica
332741,Economia dell'Ambiente
332741,Ingegneria Civile
332741,Calcolo Numerico
332741,Economia
332741,Matematica
332741,Psicopatologia
332741,Storia dell’Arte
910353,Chimica
910353,Statistica
910353,Informatica Teorica
910353,Genetica
910353,Filosofia della Scienza
910353,Ingegneria Informatica
910353,Storia dell’Arte
910353,Farmacologia
910353,Programmazione Logica
910353,Diritto Pubblico
